NOME,TIPO1,TIPO2,FRAQUEZAS_TIPO1,IMUNIDADES_TIPO1,VANTAGENS_TIPO1,FRAQUEZAS_TIPO2,IMUNIDADES_TIPO2,VANTAGENS_TIPO2,EFETIVIDADES,FRAQUEZAS,RESISTENCIAS,IMUNIDADES
Bulbasaur,Grass,Poison,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']","['Ground', 'Psychic']",,"['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']","{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.25, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 0.5}","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Grass', 'Fighting', 'Fairy']",[]
Ivysaur,Grass,Poison,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']","['Ground', 'Psychic']",,"['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']","{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.25, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 0.5}","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Grass', 'Fighting', 'Fairy']",[]
Venusaur,Grass,Poison,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']","['Ground', 'Psychic']",,"['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']","{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.25, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 0.5}","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Grass', 'Fighting', 'Fairy']",[]
Venusaur Mega  Venusaur,Grass,Poison,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",,"['Water', 'Electric', 'Grass', 'Ground']","['Ground', 'Psychic']",,"['Grass', 'Fighting', 'Poison', 'Bug', 'Fairy']","{'Normal': 1.0, 'Fire': 2.0, 'Water': 0.5, 'Electric': 0.5, 'Grass': 0.25, 'Ice': 2.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 2.0, 'Psychic': 2.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 1.0, 'Fairy': 0.5}","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Grass', 'Fighting', 'Fairy']",[]
Charmander,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
Charmeleon,Fire,,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 1.0, 'Grass': 0.5, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[]
Charizard,Fire,Flying,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 2.0, 'Grass': 0.25, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.25, 'Rock': 4.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Electric', 'Rock']","['Fire', 'Grass', 'Fighting', 'Bug', 'Steel', 'Fairy']",['Ground']
Charizard Mega  Charizard  X,Fire,Dragon,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']","['Ice', 'Dragon', 'Fairy']",,"['Fire', 'Water', 'Electric', 'Grass']","{'Normal': 1.0, 'Fire': 0.25, 'Water': 1.0, 'Electric': 0.5, 'Grass': 0.25, 'Ice': 1.0, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 2.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.5, 'Rock': 2.0, 'Ghost': 1.0, 'Dragon': 2.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Ground', 'Rock', 'Dragon']","['Fire', 'Electric', 'Grass', 'Bug', 'Steel']",[]
Charizard Mega  Charizard  Y,Fire,Flying,"['Water', 'Ground', 'Rock']",,"['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']","['Electric', 'Ice', 'Rock']",['Ground'],"['Grass', 'Fighting', 'Bug']","{'Normal': 1.0, 'Fire': 0.5, 'Water': 2.0, 'Electric': 2.0, 'Grass': 0.25, 'Ice': 1.0, 'Fighting': 0.5, 'Poison': 1.0, 'Ground': 0.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 0.25, 'Rock': 4.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 0.5}","['Water', 'Electric', 'Rock']","['Fire', 'Grass', 'Fighting', 'Bug', 'Steel', 'Fairy']",['Ground']
Squirtle,Water,,"['Electric', 'Grass']",,"['Fire', 'Water', 'Ice', 'Steel']",,,,"{'Normal': 1.0, 'Fire': 0.5, 'Water': 0.5, 'Electric': 2.0, 'Grass': 2.0, 'Ice': 0.5, 'Fighting': 1.0, 'Poison': 1.0, 'Ground': 1.0, 'Flying': 1.0, 'Psychic': 1.0, 'Bug': 1.0, 'Rock': 1.0, 'Ghost': 1.0, 'Dragon': 1.0, 'Dark': 1.0, 'Steel': 0.5, 'Fairy': 1.0}","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[]
